date,entry_time,exit_time,duration_min,entry_price_ce,entry_price_pe,exit_price_ce,exit_price_pe,combined_premium,gross_pnl,charges,net_pnl,exit_reason,dte,vix_at_entry,underlying_at_entry,is_reentry,trade_number,lot_size,number_of_lots,qty,capital_used,num_sl_events
2021-04-01,2021-04-01T09:17:00+05:30,2021-04-01T09:49:00+05:30,32.0,54.5,52.8,71.85,69.64,107.3,-5128.5,128.48,-5256.98,Fixed SL hit (PE),0,0.0,14799.0,False,1,25,6,150,250000.0,2
2021-04-05,2021-04-05T09:17:00+05:30,2021-04-05T15:15:00+05:30,358.0,167.15,134.0,122.45,175.2,301.15,525.0,180.25,344.75,Time Exit (15:15),3,0.0,14763.8999,False,1,25,6,150,244743.02,2
2021-04-06,2021-04-06T09:17:00+05:30,2021-04-06T15:15:00+05:30,358.0,128.0,132.2,100.8,99.0,260.2,9060.0,162.93,8897.07,Time Exit (15:15),2,0.0,14646.7,False,1,25,6,150,245087.77,2
2021-04-07,2021-04-07T09:17:00+05:30,2021-04-07T15:15:00+05:30,358.0,106.0,100.45,80.7,55.6,206.45,10522.5,146.59,10375.91,Time Exit (15:15),1,0.0,14709.0,False,1,25,6,150,253984.84,2
2021-04-08,2021-04-08T09:17:00+05:30,2021-04-08T13:36:00+05:30,259.0,53.6,44.85,13.55,60.6,98.45,3645.0,120.18,3524.82,Winner Booking (23.4%),0,0.0,14917.0,False,1,25,6,150,264360.75,2
2021-04-08,2021-04-08T14:21:00+05:30,2021-04-08T14:34:00+05:30,13.0,12.7,25.7,36.75,34.41,38.4,-4914.0,108.61,-5022.61,Fixed SL hit (PE),0,0.0,14938.3999,True,2,25,6,150,267885.57,2
2021-04-09,2021-04-09T09:17:00+05:30,2021-04-09T15:15:00+05:30,358.0,158.3,162.55,126.2,135.65,320.85,8850.0,180.43,8669.57,Time Exit (15:15),3,0.0,14849.7,False,1,25,6,150,262862.96,2
2021-04-12,2021-04-12T09:17:00+05:30,2021-04-12T15:15:00+05:30,358.0,162.95,122.65,153.0,160.45,285.6,-4177.5,178.89,-4356.39,Time Exit (15:15),2,0.0,14590.1,False,1,25,6,150,271532.53,2
2021-04-13,2021-04-13T09:17:00+05:30,2021-04-13T15:15:00+05:30,358.0,110.6,129.15,144.78,75.6,239.75,2905.5,161.12,2744.38,Time Exit (15:15),1,0.0,14376.2,False,1,25,6,150,267176.14,2
2021-04-15,2021-04-15T09:17:00+05:30,2021-04-15T14:45:00+05:30,328.0,62.4,58.75,82.12,18.05,121.15,3147.0,127.01,3019.99,Winner Booking (29.0%),0,0.0,14547.0,False,1,25,6,150,269920.52,2
2021-04-16,2021-04-16T09:17:00+05:30,2021-04-16T15:15:00+05:30,358.0,166.1,147.35,148.5,132.1,313.45,4927.5,180.88,4746.62,Time Exit (15:15),3,0.0,14623.3999,False,1,25,6,150,272940.51,2
2021-04-19,2021-04-19T09:17:00+05:30,2021-04-19T15:15:00+05:30,358.0,169.05,136.65,125.1,128.4,305.70000000000005,9135.0,190.48,8944.52,Time Exit (15:15),2,0.0,14313.1,False,1,25,7,175,277687.13,2
2021-04-20,2021-04-20T09:17:00+05:30,2021-04-20T15:15:00+05:30,358.0,90.95,96.3,87.9,88.85,187.25,1837.5,155.72,1681.78,Time Exit (15:15),1,0.0,14506.0,False,1,25,7,175,286631.65,2
2021-04-22,2021-04-22T09:17:00+05:30,2021-04-22T13:47:00+05:30,270.0,78.7,59.0,23.3,77.7,137.7,6422.5,136.17,6286.33,Winner Booking (28.3%),0,0.0,14170.7999,False,1,25,7,175,288313.43,2
2021-04-22,2021-04-22T14:32:00+05:30,2021-04-22T15:00:00+05:30,28.0,16.3,33.1,24.1,9.0,49.400000000000006,2852.5,109.02,2743.48,Winner Booking (24.2%),0,0.0,14384.3999,True,2,25,7,175,294599.76,2
2021-04-23,2021-04-23T09:17:00+05:30,2021-04-23T15:15:00+05:30,358.0,173.55,187.15,164.2,171.0,360.70000000000005,4462.5,211.92,4250.58,Time Exit (15:15),4,0.0,14342.0,False,1,25,7,175,297343.24,2
2021-04-26,2021-04-26T09:17:00+05:30,2021-04-26T15:15:00+05:30,358.0,134.9,148.75,126.75,140.2,283.65,2922.5,187.2,2735.3,Time Exit (15:15),3,0.0,14433.3999,False,1,25,7,175,301593.82,2
2021-04-27,2021-04-27T09:17:00+05:30,2021-04-27T15:15:00+05:30,358.0,109.25,125.15,94.6,100.1,234.4,6947.5,168.11,6779.39,Time Exit (15:15),2,0.0,14546.1,False,1,25,7,175,304329.12,2
2021-04-28,2021-04-28T09:17:00+05:30,2021-04-28T15:15:00+05:30,358.0,70.15,94.55,92.2,71.4,164.7,192.5,149.26,43.24,Time Exit (15:15),1,0.0,14734.0,False,1,25,7,175,311108.51,2
2021-04-29,2021-04-29T09:17:00+05:30,2021-04-29T14:04:00+05:30,287.0,36.6,72.9,62.2,22.7,109.5,4305.0,128.15,4176.85,Winner Booking (29.8%),0,0.0,15019.7,False,1,25,7,175,311151.75,2
2021-04-29,2021-04-29T14:49:00+05:30,2021-04-29T15:09:00+05:30,20.0,23.85,12.7,7.7,18.9,36.55,1741.25,105.45,1635.8,Winner Booking (28.1%),0,0.0,14916.6,True,2,25,7,175,315328.6,2
2021-04-30,2021-04-30T09:17:00+05:30,2021-04-30T15:15:00+05:30,358.0,195.5,175.95,198.4,150.15,371.45,4007.5,215.81,3791.69,Time Exit (15:15),4,0.0,14780.5,False,1,25,7,175,316964.4,2
2021-05-03,2021-05-03T09:17:00+05:30,2021-05-03T15:15:00+05:30,358.0,152.85,158.4,153.2,120.05,311.25,7600.0,208.19,7391.81,Time Exit (15:15),3,0.0,14440.6,False,1,25,8,200,320756.09,2
2021-05-04,2021-05-04T09:17:00+05:30,2021-05-04T15:15:00+05:30,358.0,125.75,107.6,112.85,105.05,233.35,3090.0,181.42,2908.58,Time Exit (15:15),2,0.0,14716.6,False,1,25,8,200,328147.9,2
2021-05-05,2021-05-05T09:17:00+05:30,2021-05-05T10:04:00+05:30,47.0,106.25,86.9,139.12,115.0,193.15,-12194.0,176.12,-12370.12,Fixed SL hit (CE),1,0.0,14577.7,False,1,25,8,200,331056.48,2
2021-05-06,2021-05-06T09:17:00+05:30,2021-05-06T14:16:00+05:30,299.0,65.0,41.45,19.7,54.89,106.45,6372.0,130.85,6241.15,Winner Booking (28.8%),0,0.0,14674.1,False,1,25,8,200,318686.36,2
2021-05-06,2021-05-06T15:01:00+05:30,2021-05-06T15:02:00+05:30,1.0,3.7,15.2,14.6,4.5,18.9,-40.0,101.64,-141.64,Winner Booking (23.0%),0,0.0,14691.2999,True,2,25,8,200,324927.51,2
2021-05-07,2021-05-07T09:17:00+05:30,2021-05-07T15:15:00+05:30,358.0,123.05,144.0,143.25,115.9,267.05,1580.0,195.28,1384.72,Time Exit (15:15),3,0.0,14833.6,False,1,25,8,200,324785.87,2
